filter,feature_class,feature,Feature_name,mae,rank
lbp-2D,firstorder,10Percentile,lbp-2D_firstorder_10Percentile,NA,NA
lbp-2D,firstorder,90Percentile,lbp-2D_firstorder_90Percentile,NA,NA
lbp-2D,firstorder,Energy,lbp-2D_firstorder_Energy,0.0015980111407418252,2
lbp-2D,firstorder,Entropy,lbp-2D_firstorder_Entropy,NA,NA
lbp-2D,firstorder,InterquartileRange,lbp-2D_firstorder_InterquartileRange,0.2984405450407578,204
lbp-2D,firstorder,Kurtosis,lbp-2D_firstorder_Kurtosis,0.3454158242144355,263
lbp-2D,firstorder,Maximum,lbp-2D_firstorder_Maximum,NA,NA
lbp-2D,firstorder,Mean,lbp-2D_firstorder_Mean,0.506494932682762,452
lbp-2D,firstorder,MeanAbsoluteDeviation,lbp-2D_firstorder_MeanAbsoluteDeviation,0.4413063037527916,392
lbp-2D,firstorder,Median,lbp-2D_firstorder_Median,NA,NA
lbp-2D,firstorder,Minimum,lbp-2D_firstorder_Minimum,NA,NA
lbp-2D,firstorder,Range,lbp-2D_firstorder_Range,NA,NA
lbp-2D,firstorder,RobustMeanAbsoluteDeviation,lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0.4413063037527916,392
lbp-2D,firstorder,RootMeanSquared,lbp-2D_firstorder_RootMeanSquared,0.5064061290844325,451
lbp-2D,firstorder,Skewness,lbp-2D_firstorder_Skewness,0.4698048336390398,413
lbp-2D,firstorder,TotalEnergy,lbp-2D_firstorder_TotalEnergy,0.0015980111407418252,2
lbp-2D,firstorder,Uniformity,lbp-2D_firstorder_Uniformity,NA,NA
lbp-2D,firstorder,Variance,lbp-2D_firstorder_Variance,0.4514730620338282,396
lbp-2D,glcm,Autocorrelation,lbp-2D_glcm_Autocorrelation,NA,NA
lbp-2D,glcm,ClusterProminence,lbp-2D_glcm_ClusterProminence,NA,NA
lbp-2D,glcm,ClusterShade,lbp-2D_glcm_ClusterShade,NA,NA
lbp-2D,glcm,ClusterTendency,lbp-2D_glcm_ClusterTendency,NA,NA
lbp-2D,glcm,Contrast,lbp-2D_glcm_Contrast,NA,NA
lbp-2D,glcm,Correlation,lbp-2D_glcm_Correlation,NA,NA
lbp-2D,glcm,DifferenceAverage,lbp-2D_glcm_DifferenceAverage,NA,NA
lbp-2D,glcm,DifferenceEntropy,lbp-2D_glcm_DifferenceEntropy,NA,NA
lbp-2D,glcm,DifferenceVariance,lbp-2D_glcm_DifferenceVariance,NA,NA
lbp-2D,glcm,Id,lbp-2D_glcm_Id,NA,NA
lbp-2D,glcm,Idm,lbp-2D_glcm_Idm,NA,NA
lbp-2D,glcm,Idmn,lbp-2D_glcm_Idmn,NA,NA
lbp-2D,glcm,Idn,lbp-2D_glcm_Idn,NA,NA
lbp-2D,glcm,Imc1,lbp-2D_glcm_Imc1,NA,NA
lbp-2D,glcm,Imc2,lbp-2D_glcm_Imc2,NA,NA
lbp-2D,glcm,InverseVariance,lbp-2D_glcm_InverseVariance,NA,NA
lbp-2D,glcm,JointAverage,lbp-2D_glcm_JointAverage,NA,NA
lbp-2D,glcm,JointEnergy,lbp-2D_glcm_JointEnergy,NA,NA
lbp-2D,glcm,JointEntropy,lbp-2D_glcm_JointEntropy,NA,NA
lbp-2D,glcm,MaximumProbability,lbp-2D_glcm_MaximumProbability,NA,NA
lbp-2D,glcm,SumEntropy,lbp-2D_glcm_SumEntropy,NA,NA
lbp-2D,glcm,SumSquares,lbp-2D_glcm_SumSquares,NA,NA
lbp-2D,gldm,DependenceEntropy,lbp-2D_gldm_DependenceEntropy,0,1
lbp-2D,gldm,DependenceNonUniformity,lbp-2D_gldm_DependenceNonUniformity,0,1
lbp-2D,gldm,DependenceNonUniformityNormalized,lbp-2D_gldm_DependenceNonUniformityNormalized,0,1
lbp-2D,gldm,DependenceVariance,lbp-2D_gldm_DependenceVariance,0,1
lbp-2D,gldm,GrayLevelNonUniformity,lbp-2D_gldm_GrayLevelNonUniformity,0,1
lbp-2D,gldm,GrayLevelVariance,lbp-2D_gldm_GrayLevelVariance,NA,NA
lbp-2D,gldm,HighGrayLevelEmphasis,lbp-2D_gldm_HighGrayLevelEmphasis,NA,NA
lbp-2D,gldm,LargeDependenceEmphasis,lbp-2D_gldm_LargeDependenceEmphasis,0,1
lbp-2D,gldm,LargeDependenceHighGrayLevelEmphasis,lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis,0,1
lbp-2D,gldm,LargeDependenceLowGrayLevelEmphasis,lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis,0,1
lbp-2D,gldm,LowGrayLevelEmphasis,lbp-2D_gldm_LowGrayLevelEmphasis,NA,NA
lbp-2D,gldm,SmallDependenceEmphasis,lbp-2D_gldm_SmallDependenceEmphasis,0,1
lbp-2D,gldm,SmallDependenceHighGrayLevelEmphasis,lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis,0,1
lbp-2D,gldm,SmallDependenceLowGrayLevelEmphasis,lbp-2D_gldm_SmallDependenceLowGrayLevelEmphasis,0,1
lbp-2D,glrlm,GrayLevelNonUniformity,lbp-2D_glrlm_GrayLevelNonUniformity,0,1
lbp-2D,glrlm,GrayLevelNonUniformityNormalized,lbp-2D_glrlm_GrayLevelNonUniformityNormalized,NA,NA
lbp-2D,glrlm,GrayLevelVariance,lbp-2D_glrlm_GrayLevelVariance,NA,NA
lbp-2D,glrlm,HighGrayLevelRunEmphasis,lbp-2D_glrlm_HighGrayLevelRunEmphasis,NA,NA
lbp-2D,glrlm,LongRunEmphasis,lbp-2D_glrlm_LongRunEmphasis,0,1
lbp-2D,glrlm,LongRunHighGrayLevelEmphasis,lbp-2D_glrlm_LongRunHighGrayLevelEmphasis,0,1
lbp-2D,glrlm,LongRunLowGrayLevelEmphasis,lbp-2D_glrlm_LongRunLowGrayLevelEmphasis,0,1
lbp-2D,glrlm,LowGrayLevelRunEmphasis,lbp-2D_glrlm_LowGrayLevelRunEmphasis,NA,NA
lbp-2D,glrlm,RunEntropy,lbp-2D_glrlm_RunEntropy,0,1
lbp-2D,glrlm,RunLengthNonUniformity,lbp-2D_glrlm_RunLengthNonUniformity,0,1
lbp-2D,glrlm,RunLengthNonUniformityNormalized,lbp-2D_glrlm_RunLengthNonUniformityNormalized,0,1
lbp-2D,glrlm,RunPercentage,lbp-2D_glrlm_RunPercentage,0,1
lbp-2D,glrlm,RunVariance,lbp-2D_glrlm_RunVariance,0,1
lbp-2D,glrlm,ShortRunEmphasis,lbp-2D_glrlm_ShortRunEmphasis,0,1
lbp-2D,glrlm,ShortRunHighGrayLevelEmphasis,lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis,0,1
lbp-2D,glrlm,ShortRunLowGrayLevelEmphasis,lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis,0,1
